"Story","Title","Result","Date","Stability","Duration (s)"
"logIn feature","Able to connect to my account.","SUCCESS","2021-02-26T19:38:54.0855876+02:00[Europe/Athens]","0.0","16.18"
"register feature","Can't create new account with non unique email.","FAILURE","2021-02-28T10:45:56.2996468+02:00[Europe/Athens]","0.0","124.3"
